movieId,imdbId,tmdbId
1,114709,862
2,113497,8844
4,114885,31357
6,113277,949
10,113189,710
11,112346,9087
13,112453,21032
14,113987,10858
16,112641,524
17,114388,4584
18,113101,5
19,112281,9273
20,113845,11517
21,113161,8012
22,112722,1710
24,114168,12665
25,113627,451
26,114057,16420
29,112682,902
30,115012,37557
31,112792,9909
32,114746,63
34,112431,9598
36,112818,687
39,112697,9603
43,114272,35196
45,114681,577
47,114369,807
48,114148,10530
50,114814,629
52,113819,11448
58,110877,11010
62,113862,2054
66,116839,11525
74,115644,20927
79,116731,9623
80,112445,46785
85,112365,8447
86,118158,10534
95,115759,9208
101,115734,13685
107,117110,10874
110,112573,197
111,75314,103
121,106473,32119
125,116324,2074
135,116130,9101
140,118055,9302
141,115685,11000
144,112585,16388
145,112442,9737
147,112461,10474
149,109093,30157
150,112384,568
151,114287,11780
153,112462,414
155,112495,1873
157,109370,1775
158,112642,8839
159,112688,20649
160,112715,10329
161,112740,8963
162,109508,26564
163,112851,8068
165,112864,1572
166,112887,13552
168,113071,6520
171,113464,17447
172,113481,9886
173,113492,9482
175,113540,9344
176,113677,9071
177,113690,8973
178,107447,15730
180,113749,2293
185,113957,1642
186,113986,11472
193,114436,10802
194,114478,10149
196,114508,9348
198,114558,281
204,114781,3512
206,114805,77350
207,114887,9560
208,114898,9804
213,111579,50797
215,112471,76
216,112508,11017
218,112571,9382
222,112679,22625
223,109445,2292
224,112883,1909
225,109635,8984
229,109579,10531
231,109686,8467
232,111797,10451
236,113117,397
237,113097,10525
246,110057,14275
247,110005,1024
249,110116,13701
252,110099,11777
253,110148,628
256,110216,6280
257,113501,9061
259,113552,6071
260,76759,11
261,110367,9587
262,113670,19101
265,103994,18183
266,110322,4476
272,110428,11318
276,110516,8986
277,110527,10510
281,110684,11593
282,110638,1945
288,110632,241
292,114069,6950
293,110413,101
296,110912,680
300,110932,11450
302,110963,10452
303,114214,12106
305,110907,3586
306,111495,110
307,108394,108
308,111507,109
315,111255,2636
316,111282,2164
317,111070,11395
318,111161,278
319,111149,9905
322,114594,20306
329,111280,193
337,108550,1587
338,114857,9271
339,114924,2064
342,110598,236
344,109040,3049
345,109045,2759
348,109348,11382
349,109444,9331
350,109446,10731
352,109504,34152
353,109506,9495
355,109813,888
356,109830,13
357,109831,712
358,113305,16295
361,110167,10660
362,110213,10714
364,110357,8587
367,110475,854
368,110478,9359
369,110588,23333
370,110622,36593
371,110771,12280
372,110950,2788
376,110997,8987
377,111257,1637
379,111438,8831
380,111503,36955
381,111693,10449
382,111742,10395
383,111756,12160
410,106220,2758
412,106226,10436
413,109068,13595
417,109219,16771
419,106400,11041
420,109254,306
431,106519,6075
433,109443,18658
434,106582,9350
440,106673,11566
442,106697,9739
448,106881,10443
450,111732,16297
454,106918,37233
457,106977,5503
460,109891,41579
464,107076,2019
466,107144,9255
468,112966,10612
471,110074,11934
474,107206,9386
475,107207,7984
477,108551,15765
480,107290,329
481,107302,10909
485,107362,9593
489,107478,12121
490,107497,2246
493,107554,9516
494,116253,2320
497,107616,11971
500,107614,788
501,107653,21450
505,110687,31586
508,107818,9800
509,107822,713
510,107840,8291
514,110955,10872
515,107943,1245
517,107969,7007
519,107978,5550
520,107977,8005
521,107983,2088
524,108002,14534
527,108052,424
529,108065,14291
532,111127,11592
533,111143,8850
534,108101,10445
535,108122,695
537,111201,12519
538,108149,23210
539,108160,858
540,108162,867
541,83658,78
543,108174,10442
544,108238,11074
551,107688,9479
552,108333,10057
553,108358,11969
555,108399,319
562,114906,11446
569,110363,31504
581,112651,32562
585,112572,9066
586,99785,771
587,99653,251
588,103639,812
589,103064,280
590,99348,581
592,96895,268
593,102926,274
594,29583,408
595,101414,10020
596,32910,10895
597,100405,114
608,116282,275
616,65421,10112
628,117381,1592
637,117608,9099
645,113947,12652
647,115956,10684
648,117060,954
653,116136,8840
661,116683,10539
671,117128,3065
707,117107,10990
708,117979,8866
711,116322,36355
713,110712,90148
720,118114,503475
724,115963,9100
733,117500,9802
736,117998,664
737,115624,11867
745,112691,532
750,57012,935
762,117765,9879
778,117951,627
780,116629,602
783,116583,10545
784,115798,9894
788,117218,9327
800,116905,26748
802,117333,9294
804,117628,11363
805,117913,1645
830,116313,2925
835,116353,18555
838,116191,3573
852,117918,10478
858,68646,238
866,115736,9303
882,117965,58770
902,54698,164
903,52357,426
904,47396,567
908,53125,213
909,53604,284
910,53291,239
911,56923,4808
912,34583,289
914,58385,11113
915,47437,6620
916,46250,804
919,32138,630
920,31381,770
923,33467,15
924,62622,62
926,42192,705
927,32143,22490
933,48728,381
934,42451,20758
938,51658,17281
946,35446,198
953,38650,1585
969,43265,488
971,51459,261
994,115678,18203
999,115438,9401
1006,115862,6346
1031,66817,12335
1032,43274,12092
1035,59742,15121
1036,95016,562
1041,117589,11159
1051,117958,27845
1056,116722,25147
1059,117509,454
1060,117802,10218
1061,117665,819
1073,67992,252
1079,95159,623
1080,79470,583
1084,61418,475
1088,92890,88
1089,105236,500
1090,91763,792
1094,104036,11386
1095,104348,9504
1097,83866,601
1100,99371,2119
1101,92099,744
1103,48545,221
1104,44081,702
1120,117318,1630
1129,82340,1103
1136,71853,762
1148,108598,531
1150,84589,4483
1172,95765,11216
1178,50825,975
1179,99703,18129
1183,116209,409
1185,97937,10161
1192,100332,31225
1193,73486,510
1196,80684,1891
1197,93779,2493
1198,82971,85
1199,88846,68
1200,90605,679
1203,50083,389
1204,56172,947
1206,66921,185
1207,56592,595
1208,78788,28
1210,86190,1892
1211,93191,144
1213,99685,769
1215,106308,766
1217,89881,11645
1219,54215,539
1220,80455,525
1221,71562,240
1222,93058,600
1225,86879,279
1228,81398,1578
1230,75686,703
1231,86197,9549
1233,82096,387
1234,70735,9277
1236,103130,37291
1240,88247,218
1242,97441,9665
1244,79522,696
1246,97165,207
1247,61722,37247
1250,50212,826
1258,81505,694
1259,92005,235
1261,92991,765
1262,57115,5925
1263,77416,11778
1265,107048,137
1266,105695,33
1270,88763,105
1271,101921,1633
1272,66206,11202
1273,90967,1554
1276,61512,903
1278,72431,3034
1280,101640,10404
1284,38355,910
1287,52618,665
1288,88258,11031
1291,97576,89
1292,78841,10322
1296,91867,11257
1297,89886,14370
1299,87553,625
1302,97351,2323
1304,64115,642
1307,98635,639
1317,116601,61536
1343,101540,1598
1353,117057,25189
1356,117731,199
1357,117631,7863
1358,117666,12498
1367,115433,11674
1370,99423,1573
1372,102975,174
1373,98382,172
1374,84726,154
1375,88170,157
1376,92007,168
1377,103776,364
1387,73195,578
1392,115906,13891
1393,116695,9390
1394,93822,378
1399,116999,9819
1405,115641,3179
1406,112769,1802
1409,117038,2928
1411,116477,10549
1416,116250,8818
1465,120036,25624
1476,119951,9403
1485,119528,1624
