movieId,title,genres,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862
2,Jumanji (1995),Adventure|Children|Fantasy,8844
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357
6,Heat (1995),Action|Crime|Thriller,949
10,GoldenEye (1995),Action|Adventure|Thriller,710
11,"American President, The (1995)",Comedy|Drama|Romance,9087
13,Balto (1995),Adventure|Animation|Children,21032
14,Nixon (1995),Drama,10858
16,Casino (1995),Crime|Drama,524
17,Sense and Sensibility (1995),Drama|Romance,4584
18,Four Rooms (1995),Comedy,5
19,Ace Ventura: When Nature Calls (1995),Comedy,9273
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517
21,Get Shorty (1995),Comedy|Crime|Thriller,8012
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710
24,Powder (1995),Drama|Sci-Fi,12665
25,Leaving Las Vegas (1995),Drama|Romance,451
26,Othello (1995),Drama,16420
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557
31,Dangerous Minds (1995),Drama,9909
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63
34,Babe (1995),Children|Drama,9598
36,Dead Man Walking (1995),Crime|Drama,687
39,Clueless (1995),Comedy|Romance,9603
43,Restoration (1995),Drama,35196
45,To Die For (1995),Comedy|Drama|Thriller,577
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010
62,Mr. Holland's Opus (1995),Drama,2054
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525
74,Bed of Roses (1996),Drama|Romance,20927
79,"Juror, The (1996)",Drama|Thriller,9623
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785
85,Angels and Insects (1995),Drama|Romance,8447
86,White Squall (1996),Action|Adventure|Drama,10534
95,Broken Arrow (1996),Action|Adventure|Thriller,9208
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,10874
110,Braveheart (1995),Action|Drama|War,197
111,Taxi Driver (1976),Crime|Drama|Thriller,103
121,"Boys of St. Vincent, The (1992)",Drama,32119
125,Flirting With Disaster (1996),Comedy,2074
135,Down Periscope (1996),Comedy,9101
140,Up Close and Personal (1996),Drama|Romance,9302
141,"Birdcage, The (1996)",Comedy,11000
144,"Brothers McMullen, The (1995)",Comedy,16388
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,9737
147,"Basketball Diaries, The (1995)",Drama,10474
149,Amateur (1994),Crime|Drama|Thriller,30157
